regions,unis_colleges
Abay Region,39577.0
Akmola Region,32635.0
Aktobe Region,50561.0
Almaty Region,25605.0
Atyrau Region,30271.0
West Kazakhstan Region,42692.0
Jambyl Region,45180.0
Jetisu Region,19384.0
Karaganda Region,72178.0
Kostanay Region,39526.0
Kyzylorda Region,35156.0
Mangystau Region,28185.0
Pavlodar Region,37400.0
North Kazakhstan Region,17452.0
Turkistan Region,44946.0
Ulytau Region,7472.0
East Kazakhstan Region,32808.0
Astana,100579.0
Almaty,262867.0
Shymkent,139672.0
